渋茨木高校,文理,76
大阪教育大附高池田,普,76
大阪教育大附天王寺,普,76
北野高校,文理,76
北野高校,普通,75
天王寺高校,文理,75
大手前高校,文理,74
四條畷高校,文理,74
大阪府教育センタ附,普,44
大阪商業大高,デザ美,私,44
大塚高校,普通,44
懐風館高校,普通,44
北摂つばさ高校,普通,44
八尾北高校,総合,44
緑風冠高校,普通,44
阿武野高校,普通,43
あべの翔学高校,看特,私,43
大阪女子短期大高,普,私,43
大阪産業大附高校,進,私,43
大阪産大附高,国際進,私,43
大阪夕陽丘学園高,総,私,43
大阪夕陽丘学園高,音,私,43
大阪夕陽丘学園高,美,私,43
大阪学院大学高校,普,私,43
関西福祉科大高,特Ⅱ,私,43
金蘭会高校,スポーツ,私,43
興國高校,アドバンス,私,43
興國高校,アスリート,私,43
樟蔭東高校,衛生看護,私,43
城南学園高校,特進,私,43
宣真高校,看護進学,私,43
鶴見商業高校,商業,43
日新高校,商業,43
福井高校,普通,43
あべの翔学高,文理特,私,42
大阪暁光高校,看護,私,42
大阪成蹊女子高,幼教,私,42
大阪成蹊女子高,美術,私,42
大阪成蹊女子高,スポ,私,42
大阪商大高,グロ商大,私,42
金光大阪高校,進学,私,42
堺上高校,普通,42
精華高校,特進選抜,私,42
成美高校,普通,42
太成学院高校,特進Ⅱ,私,42
西寝屋川高校,普通,42
農芸高校,ハイテク農芸,42
農芸高校,食品加工,42
農芸高校,資源動物,42
淀川工科高校,全系,42
園芸高校,フラワー,41
園芸高校,環境緑化,41
園芸高校,バイオサイエ,41
大阪高校,総合進学,私,41
大阪市立中央高校,普通,41
大阪市立中央高校,ビジ,41
大阪桐蔭高校,Ⅲ類,私,41
大阪薫英女学院高,ス,私,41
大阪国際滝井高校,標,私,41
大阪国際滝井高,幼保,私,41
大阪電気通信大高,電,私,41
大阪電気通信大高,進,私,41
大阪体育大浪商高,進,私,41
佐野工科高校,工業,41
樟蔭東高校,キャリ進,私,41
昇陽高校,特進,私,41
城南学園高校,幼教福,私,41
住吉商業高校,商業,41
長野北高校,普通,41
東大阪大敬愛高,こど,私,41
りんくう翔南高校,普通,41
茨木工科高校,機械,40
茨木工科高校,電気,40
茨木工科高校,環境科学,40
池田北高校,普通,40
英真学園高校,特進,私,40
大阪商業大学高,スポ,私,40
大阪商業大堺高,進グ,私,40
大阪国際滝井高,体吹,私,40
大阪体育大浪商高,ア,私,40
関西大学北陽高,スポ,私,40
関西福祉科学大高,保,私,40
四條畷学園高校,保育,私,40
島本高校,普通,40
伯太高校,普通,40
枚岡樟風高校,総合,40
福泉高校,普通,40
箕面東高校,普通,40
美原高校,普通,40
明浄学院高校,普通,私,40
守口東高校,普通,40
四條畷学園高校,総合,私,39
星翔高校,特進,私,39
箕面学園高校,普通,私,39
和泉総合高校,総合,39
門真西高校,普通,39
かわち野高校,普通,39
堺工科高校,工業,39
信太高校,普通,39
成城高校,総合,39
西野田工科高校,工業,39
能勢高校,総合,39
平野高校,普通,39
布施工科高校,工業,39
藤井寺工科高校,工業,39
桃谷高校,普通,39
泉尾工業高校,ファッショ,38
泉尾工業高校,セラミック,38
泉尾工業高校,工業化学,38
泉尾工業高校,機械,38
泉尾工業高校,電気,38
北淀高校,普通,38
城東工科高校,工業,38
大正高校,普通,38
長吉高校,普通,38
東住吉総合高校,総合,38
布施北高校,普通,38
岬高校,普通,38
あべの翔学高校,チャレン,私,38
あべの翔学高校,ビジネス,私,38
あべの翔学高校,幼児教育,私,38
英真学園高校,情報進学,私,38
大阪偕星学園,総合,私,38
大阪暁光高校,進学総合,私,38
大阪産業大附属高校,スポ,私,38
大阪学院大高校,スポーツ,私,38
大阪電気通信大高,健スポ,私,38
関西福祉科学大高校,進学,私,38
好文学園女子高校,標準,私,38
好文学園女子高校,IT,私,38
好文学園女子高校,デザ美,私,38
好文学園女子高校,マンガ,私,38
好文学園女子高,スポーツ,私,38
好文学園女子高校,保育進,私,38
大商学園高校,商業,私,38
東大阪大柏原高校,アドバ,私,38
東大阪大敬愛高,調理製菓,私,38
大阪偕星学園,スポーツ,私,37
大阪商業大学堺高校,スポ,私,37
香ヶ丘リベルテ高,アンダ,私,37
金光藤蔭高校,進学プロシ,私,37
興國高校,ＩＴビジネス,私,37
興國高校,キャリア,私,37
興國高校,スタンダード,私,37
興國高校,Sアドバンス,私,37
昇陽高校,進学,私,37
昇陽高校,ビジネス,私,37
昇陽高校,パティシエ,私,37
昇陽高校,福祉,私,37
昇陽高校,保育,私,37
昇陽高校,看護,私,37
城南学園高校,進学選択,私,37
清明学院高校,普通,私,37
宣真高校,総合,私,37
宣真高校,スポーツ,私,37
宣真高校,保育進学,私,37
大商学園高校,総合,私,37
太成学院高校,総合人間力,私,37
初芝立命館高校,体育,私,37
東大阪大学敬愛高校,総合,私,37
泉尾高校,普通,37
泉鳥取高校,普通,37
生野工業高校,機械,37
生野工業高校,電気,37
生野工業高校,電子機械,37
柏原東高校,普通,37
勝山高校,普通,37
咲洲高校,普通,37
西成高校,普通,37
野崎高校,普通,37
東淀工業高校,機械工,37
東淀工業高校,電気工,37
東淀工業高校,理工,37
布施北高校,デュアル総合,37
西淀川高校,普通,36
茨田高校,普通,36 
英真学園高校,総合進学,私,36
香ヶ丘リベルテ高,リベラ,私,36
香ヶ丘リベルテ高,美容芸,私,36
金光藤蔭高校,ＩＴライセ,私,36
金光藤蔭高校,ライフクリ,私,36
金光藤蔭高校,アスリート,私,36
建国高校,普通,私,36
樟蔭東高校,スポーツ,私,36
精華高校,特進共通,私,36
星翔高校,総合,私,36
星翔高校,工業,私,36
太成学院高校,スポーツ,私,36
太成学院高校,パティスリ,私,36
東大阪大柏原高校,キャリ,私,36
東大阪大柏原高校,スポー,私,36
香ヶ丘リベルテ高,アクテ,私,35
香ヶ丘リベルテ高,フィジ,私,35
香ヶ丘リベルテ高,ファッ,私,35
香ヶ丘リベルテ高校,保育,私,35 
