茨木高校[文理]76
泉尾工業高校[工業化学]38
泉尾工業高校[機械]38
泉尾工業高校[電気]38
北淀高校[普通]38
城東工科高校[工業]38
大正高校[普通]38
長吉高校[普通]38
東住吉総合高校[総合]38
布施北高校[普通]38
岬高校[普通]38
泉尾高校[普通]37
泉鳥取高校[普通]37
生野工業高校[機械]37
生野工業高校[電気]37
生野工業高校[電子機械]37
柏原東高校[普通]37
勝山高校[普通]37
咲洲高校[普通]37
西成高校[普通]37
野崎高校[普通]37
東淀工業高校[機械工]37
東淀工業高校[電気工]37
東淀工業高校[理工]37
布施北高校[デュアル総合]37
西淀川高校[普通]36
茨田高校[普通]36 
