片倉高校,普通,48
片倉高校,造形美術,48
川村高校,普通,私,48
北豊島高校,国際英語,私,48
自由ヶ丘学園高,選進,私,48
忍岡高校,普通,48
忍岡高校,生活科学,48
田無高校,普通,48
千代田女学園高校,進,私,48
東京女子学園高校,進,私,48
日本工業大駒場,理数,私,48
町田総合高校,総合,48
松原高校,普通,48
若葉総合高校,総合,48
岩倉高校,運輸,私,47
葛飾総合高校,総合,47
錦城学園高校,普通,私,47
蔵前工業高校,電気,47
蔵前工業高校,建築,47
京華女子高校,文理,私,47
駒沢学園女子高校,進,私,47
駿台学園高校,進学,私,47
正則学園高校,普通,私,47
自由学園高等科,普通,私,47
成立学園高校,特総合,私,47
竹台高校,普通,47
千早高校,ビジネスコミ,47
東海大学菅生高校,総,私,47
トキワ松学園高校,美,私,47
日本学園高校,総合進,私,47
福生高校,普通,47
豊南高校,進学,私,47
紅葉川高校,普通,47
足立高校,普通,46
大崎高校,普通,46
王子総合高校,総合,46
葛飾野高校,普通,46
久留米西高校,普通,46
蔵前工業高校,設備工業,46
駒場学園高校,進学,私,46
昭和第一学園高校,総,私,46
新宿山吹高校,情報,46
芝商業高校,商業,46
駿台学園高校,スペシ,私,46
世田谷学園高校,普通,私,46
大成高校,情報進学,私,46
東京都立園芸高校,動物,46
東邦音大附東邦高,音,私,46
日体荏原高校,文理,私,46
新渡戸文化高,キャリ,私,46
藤村女子高校,総進学,私,46
府中東高校,普通,46
美原高校,普通,46
村田女子高校,商アド,私,46
目黒学院高校,総合,私,46
足立西高校,普通,45
上野学園高校,音楽,私,45
大森学園高校,普総合,私,45
小野学園女子高校,進,私,45
国本女子高校,総進学,私,45
蔵前工業高校,機械,45
小平西高校,普通,45
昭和第一高校,進学,私,45
潤徳女子高校,総進学,私,45
潤徳女子高校,福祉進,私,45
修徳高校,文理進学,私,45
総合工科高校,機・自動,45
総合工科高校,電・情デ,45
総合工科高校,建・都市,45
第一商業高校,商業,45
八王子北高校,普通,45
文華女子高校,総進学,私,45
瑞穂農芸高校,畜産科学,45
武蔵野高校,特進ステ,私,45
足立新田高校,普通,44
板橋高校,普通,44
上野学園高校,総進,私,44
大泉桜高校,普通,44
関東第一高校,進学Ｇ,私,44
北豊島高校,総合,私,44
駒場学園高校,食物,私,44
品川エトワール女,際,私,44
潤徳女子高,ビジＩＴ,私,44
潤徳女子高校,美デザ,私,44
聖パウロ学園高校,普,私,44
東京都立農芸高校,園科,44
東京都立農芸高校,食科,44
東京都立農芸高校,緑環,44
東京都立農業高校,服飾,44
東京実業高校,ビジネ,私,44
東亜学園高校,体育,私,44
日本橋高校,普通,44
日体荏原高校,総合,私,44
日体荏原高校,体育,私,44
八王子実践高校,普通,私,44
光丘高校,普通,44
藤村女子高校,スポー,私,44
宝仙学園高校,アドバ,私,44
武蔵村山高校,普通,44
愛国高校,普通,私,43
愛国高校,家政,私,43
愛国高校,商業,私,43
岩倉高校,総進,私,43
淑徳ＳＣ高等部,普通,私,43
品川エトワール女,マ,私,43
篠崎高校,普通,43
砂川高校,普通,43
田柄高校,普通,43
千歳丘高校,普通,43
貞静学園高校,Ⅰ総進,私,43
東京都立園芸高校,園芸,43
東京都立園芸高校,食品,43
東京都立農産高校,食品,43
東京都立農業高校,食科,43
東京実業高校,文理,私,43
永山高校,普通,43
日本橋女学館高校,進,私,43
日本橋女学館高校,芸,私,43
練馬高校,普通,43
拝島高校,普通,43
八王子実践高校,調理,私,43
羽村高校,普通,43
日出高校,総合,私,43
日出高校,スポーツ,私,43
日出高校,芸能,私,43
東村山西高校,普通,43
淵江高校,普通,43
府中工業高校,情報技術,43
宝仙学園高校,アクテ,私,43
村田女子高校,普スタ,私,43
村田女子高校,商スタ,私,43
八潮高校,普通,43
山崎高校,普通,43
大田桜台高校,ビジネス,42
萩窪高校,普通,42
葛飾商業高校,商業,42
蒲田女子高校,幼児教,私,42
京華商業高校,商業,私,42
江東商業高校,総合ビジ,42
墨田工業高校,自動車,42
墨田工業高校,建築,42
墨田工業高校,電気,42
墨田工業高校,機械,42
瀧野川女子学園高,進,私,42
第三商業高校,商業,42
第四商業高校,情報処理,42
田柄高校,外国文化,42
中央学院大中央高,普,私,42
東京都立農産高校,園デ,42
東京都立農業高校,都園,42
東京都立農業高校,緑計,42
日本工業大駒場高,電,私,42
日本工業大駒場高,機,私,42
日本工業大駒場高,建,私,42
野津田高校,普通,42
八王子拓真高校,普通,42
東村山高校,普通,42
府中工業高校,工業技術,42
府中工業高校,機械,42
堀越高校,育英,私,42
瑞穂農芸高校,生活デザ,42
瑞穂農芸高校,食品,42
六郷工科高校,デサイン,42
五日市高校,ことばと情,41
葛飾商業高校,情報処理,41
自由ヶ丘学園高校,総,私,41
昭和第一学園高校,工,私,41
成女高校,普通,私,41
多摩高校,普通,41
立川女子高校,総・文,私,41
第五商業高校,商業,41
貞静学園高,Ⅲ幼・保,私,41
東京学園高校,普通,私,41
日本音楽高校,普通,私,41
日本音楽高校,音楽,私,41
野津田高校,福祉,41
府中工業高校,電気,41
町田工業高校,総合情報,41
南葛飾高校,普通,41
武蔵野高校,進学ステ,私,41
目黒学院高校,体育,私,41
六郷工科高校,オートモ,41
六郷工科高校,システム,41
青井高校,普通,40
秋留台高校,普通,40
荒川商業高校,総合ビジ,40
大森高校,普通,40
蒲田女子高校,キャリ,私,40
神田女学園高校,進学,私,40
関東第一高校,スポー,私,40
葛西工業高校,機械,40
葛西工業高校,電子,40
葛西工業高校,建築,40
品川エトワール女,般,私,40
大東学園高校,普通,私,40
大東学園高校,福祉,私,40
橘高校,産業,40
第四商業高校,商業,40
東京実業高校,機械,私,40
東京実業高校,電気,私,40
日体桜華高校,普通,私,40
日本女体育大二階,保,私,40
日本女体育大二階,総,私,40
日本女体育大二階,体,私,40
深沢高校,普通,40
瑞穂農芸高校,園芸科学,,40
六郷工科高校,プロダク,40
中央学院大学中央高,商業,私,39
堀越高校,進学進路選抜,私,39
足立東高校,普通,39
浅草高校,普通,39
五日市高校,商業,39
大山高校,普通,39
大島高校,普通,39
小笠原高校,普通,39
葛西南高校,普通,39
北豊島工業高校,総合技術,39
多摩工業高校,機械,39
多摩工業高校,電気,39
多摩工業高校,環境化学,39
田無工業高校,機械,39
田無工業高校,建築,39
田無工業高校,都市工学,39
新島高校,普通,39
練馬工業高校,キャリア技,39
野津田高校,体育,39
八丈高校,普通,39
一橋高校,普通,39
安部学院高校,商業,私,38
大森学園高校,総合技術,私,38
大森学園高校,情報技術,私,38
大森学園高校,機械,私,38
大森学園高校,電気,私,38
自由ヶ丘学園高校,総合,私,38
成立学園高校,アスリート,私,38
鶴川高校,普通,私,38
赤羽商業高校,商業,38
蒲田高校,普通,38
杉並工業高校,機械,38
杉並工業高校,電子,38
杉並工業高校,理工環境,38
三宅高校,普通,38
六郷工科高校,デュアルシ,38
科学技術学園高校,普通,私,37
堀越高校,トレイト,私,37
堀越高校,体育,私,37
立志舎高校,普通,私,37
足立工業高校,総合技術,37
荒川工業高校,電気,37
荒川工業高校,電子,37
荒川工業高校,情報技術,37
神津高校,普通,37
中野工業高校,総合技術,37  
