叡明高校,情報技術,私,39
武蔵越生高校,アスリート,私,39
熊谷農業高校,食品科学,39
熊谷農業高校,生活技術,39
熊谷農業高校,生物生産,39
栗橋北彩高校,普通,39
久喜工業高校,環境科学,39
久喜工業高校,電気,39
久喜工業高校,機械,39
久喜工業高校,工業化学,39
幸手桜高校,総合,39
杉戸農業高校,生物生産技,39
杉戸農業高校,園芸,39
杉戸農業高校,造園,39
杉戸農業高校,食品流通,39
杉戸農業高校,生物生産工,39
杉戸農業高校,生活技術,39
羽生実業高校,園芸,39
羽生実業高校,農業経済,39
飯能南高校,体育,39
富士見高校,普通,39
ふじみ野高校,普通,39
三郷高校,情報,39
八潮高校,普通,39
岩槻北陵高校,普通,38
川口工業高校,情報通信,38
川口工業高校,電気,38
川口工業高校,機械,38
鴻巣女子高校,普通,38
児玉白楊高校,生物資源,38
児玉白楊高校,環境デザイ,38
児玉白楊高校,機械,38
児玉白楊高校,電子機械,38
秩父農工科学高校,農業,38
秩父農工科学高校,森林科,38
秩父農工科学高校,食品化,38
秩父農工科学高校,ライフ,38
秩父農工科学高校,フード,38
秩父農工科学高校,電気,38
秩父農工科学高校,機械,38
秩父農工科学高校,電子機,38
新座高校,普通,38
鳩山高校,普通,38
鳩山高校,情報管理,38
飯能南高校,普通,38
日高高校,普通,38
日高高校,情報,38
ふじみ野高校,スポーツ,38
三郷高校,普通,38
妻沼高校,普通,38
八潮高校,体育,38
八潮南高校,普通,38
八潮南高校,商業,38
八潮南高校,情報処理,38
吉川美南高校,普通,38
和光高校,普通,38
浦和麗明高校,総合進学,私,38
叡明高校,進スタンダード,私,38
秀明英光高校,総合進学,私,38
東野高校,総合進学,私,37
上尾橘高校,普通,37
上尾橘高校,情報,37
小鹿野高校,総合,37
桶川西高校,普通,37
越生高校,普通,37
狭山緑陽高校,総合,37
戸田翔陽高校,総合,37
皆野高校,商業,37  
