福岡女子高校,保育福祉,45
福島高校,生活デザイン,45
三井中央高校,ビジネス,45
八幡中央高校,芸術,45
稲築志耕館高校,総合,44
大牟田高校,総合,私,44
純真高校,看護,私,44
自由ヶ丘高校,アドバ,私,44
築上西高校,普通,44
直方高校,一般,44
福岡女子高校,服飾デザ,44
福岡女子高校,食物調理,44
福岡女子高校,生活情報,44
福岡女子高校,国際教養,44
門司大翔館高校,普通,44
柳川高校,進学,私,44
祐誠高校,ドリーム,私,44
行橋高校,総合ビジネス,44
大川樟風高校,住環境,43
嘉穂総合高校,ロボット,43
九産大付九州産業,進,私,43
久留米学園高校,普通,私,43
精華女子高校,看護,私,43
田川科学技術高校,ビジ,43
田川科学技術高校,シス,43
筑豊高校,ビジネス,43
東筑紫学園高校,普通,私,43
福岡女子高校,普通,43
三井高校,普通,43
三瀦高校,普通,43
柳川高校,商業,私,43
八女学院高校,進学,私,43
浮羽工業高校,建築,42
浮羽工業高校,土木,42
浮羽工業高校,環境デザ,42
浮羽工業高校,機械,42
浮羽工業高校,電気,42
浮羽工業高校,材料技術,42
大牟田高校,調理,私,42
遠賀高校,普通,42
遠賀高校,グリーンサイ,42
久留米筑水高校,生物工,42
久留米筑水高校,食品流,42
久留米筑水高校,環境緑,42
久留米筑水高校,社会福,42
久留米筑水高校,食物調,42
精華女子高校,進学,私,42
筑紫台高校,進学,私,42
筑豊高校,生活デザイン,42
西田川高校,普通,42
直方高校,スポーツ科学,42
博多女子高校,普通進,私,42
博多女子高校,トータ,私,42
福岡工大附城東高,Ⅱ,私,42
三井高校,スポーツ健康,42
三井高校,福祉教養,42
三井中央高校,総合,42
三井中央高校,ライフデ,42
三瀦高校,スポーツ文化,42
若松高校,普通,42
折尾愛真高校,普通,私,41
折尾愛真高校,商業,私,41
嘉穂総合高校,情報総合,41
嘉穂総合高校,ＩＴシス,41
嘉穂総合高校,地球環境,41
近畿大附福岡高校,進,私,41
玄洋高校,普通,41
早良高校,普通,41
早良高校,スポーツ,41
星琳高校,進学,私,41
田川科学技術高,生命科,41
東海大付第五高,進学,私,41
福岡工大附城東高,電,私,41
福岡工大附城東,電情,私,41
大和青藍高校,普通,私,41
大和青藍高校,調理,私,41
大和青藍高校,介福祉,私,41
朝倉光陽高校,普通,40
大牟田高校,工業,私,40
九産大付九州産業,機,私,40
鞍手竜徳高校,総合,40
高稜高校,進学,私,40
高稜高校,資格情報,私,40
杉森高校,食物,私,40
誠修高校,普通,私,40
誠修高校,保育,私,40
誠修高校,生活文化,私,40
常磐高校,進学,私,40
常磐高校,情報進学,私,40
中村学園三陽高校,進,私,40
ひびき高校,普通,40
福岡常葉高校,エステ,私,40
福岡農業高校,都市園芸,40
福岡農業高校,環境活用,40
福岡農業高校,食品科学,40
福岡農業高校,生活デザ,40
行橋高校,農業技術,40
行橋高校,環境緑地,40
行橋高校,生活デザイン,40
美萩野女子高校,進学,私,40
沖学園高校,普通,私,39
沖学園高校,社会総合,私,39
慶成高校,普通,私,39
慶成高校,コンピュータ,私,39
慶成高校,福祉,私,39
啓知高校,介護福祉,私,39
啓知高校,キャリアビジネ,私,39
杉森高校,福祉,私,39
八女農業高校,生産技術,39
八女農業高校,システ園芸,39
八女農業高校,生物利用,39
八女農業高校,生活科学,39
朝倉光陽高校,食農科学,38
糸島農業高校,農業技術,38
糸島農業高校,農業経営,38
糸島農業高校,食品科学,38
糸島農業高校,生活科学,38
水産高校,海洋,38
水産高校,食品流通,38
水産高校,アクアライフ,38 
希望が丘高校,総合,私,38
希望が丘高校,自動車,私,38
久留米学園高校,総合,私,38
真颯館高校,総合,私,38
真颯館高校,電子情報,私,38
真颯館高校,建築,私,38
真颯館高校,調理,私,38
真颯館高校,美術デザイン,私,38
星琳高校,総合,私,38
星琳高校,食物調理,私,38
精華女子高校,普通,私,38
精華女子高校,情報,私,38
精華女子高校,製菓,私,38
精華女子高校,保育福祉,私,38
精華女子高校,食物調理,私,38
第一薬科大付属高校,普通,私,38
第一薬科大付属高校,保育,私,38
筑紫台高校,総合,私,38
筑紫台高校,工業,私,38
筑紫台高校,コンピュータ,私,38
福岡第一高校,普通,私,38
福岡第一高校,音楽,私,38
福岡第一高校,福祉,私,38
福岡第一高校,機械,私,38
福岡第一高校,自動車,私,38
福岡第一高校,コンピュー,私,38
福岡常葉高校,普通,私,38
福岡常葉高校,情報処理,私,38
福智高校,普通,私,38
福智高校,総合福祉,私,38
豊国学園高校,普通,私,38
豊国学園高校,生活情報,私,38
豊国学園高校,保育,私,38
豊国学園高校,電子情報,私,38
豊国学園高校,自動車,私,38
豊国学園高校,機械システ,私,38
美萩野女子高校,キャリア,私,38
美萩野女子高校,介護福祉,私,38
祐誠高校,機械,私,38
祐誠高校,自動車,私,38			
祐誠高校,土木,私,38
祐誠高校,情報技術,私,38
祐誠高校,情報技術,私,38
飯塚高校,普通,私,37
飯塚高校,総合,私,37
飯塚高校,保育福祉,私,37
純真高校,普通,私,37
立花高校,普通,私,37
西日本短期大附高,保育福,私,37
西日本短期大附高,キャリ,私,37
西日本短期大附高,スポー,私,37
博多高校,普通,私,37
福岡大学附属若葉高,進体,私,37 
